Country,Year,Energy Type,Production (GWh),Installed Capacity (MW),Investments (USD),Population,GDP,Energy Consumption,Energy Exports,Energy Imports,CO2 Emissions,Renewable Energy Jobs,Biomass Availability,Energy Storage Capacity,Energy Efficiency Programs
Russia,2018,Solar,41942.55382,18067.84905,9043695635,18863432,1.32602E+14,804430.031,52089.69379,74409.80735,675045.0852,558120,70.10567144,971.5936148,1
France,2017,Wind,30824.64531,36298.52445,864455661,45731644,1.11727E+14,11155.13993,91085.41036,39459.47122,952651.2886,832722,46.96355658,800.125437,0
Russia,2002,Hydro,33626.28786,31803.72882,1124989723,1285033538,2.50705E+12,899164.506,16582.46138,17069.05348,352790.0569,340866,88.63244627,32.72139866,1
India,2014,Solar,56260.07886,38771.77936,474499071.9,685826997,1.38893E+13,319201.5422,47576.19155,20247.97339,361081.3546,231336,97.51412317,42.73270727,1
Russia,2022,Hydro,22346.74069,20191.54537,3594189604,272065728,7.26839E+13,836768.3838,86883.62896,8581.454455,318570.5149,546387,56.53177211,419.2930723,0
China,2010,Biomass,51839.94504,39136.90817,787814441.1,123514566,1.06182E+14,134508.1719,84861.81207,95857.77433,402397.7686,290765,10.69954546,486.760771,0
India,2010,Wind,3782.82038,29537.89877,5974605172,1211640055,1.02604E+14,471998.2127,24110.87266,6237.925803,679418.0611,808491,90.87234351,273.4518829,1
USA,2020,Biomass,2016.88256,1409.725298,8121393330,196283776,8.06888E+13,575817.5454,73126.76028,51586.21932,593925.9781,6378,69.04068007,574.3089938,0
USA,2022,Solar,33851.8503,27673.25846,9513058418,7940294,1.76764E+14,763942.8953,49028.20409,85068.63566,48682.1428,56376,87.50847252,203.9480699,0
Germany,2014,Biomass,71993.88311,47369.63606,4348122244,1158139184,1.29031E+14,151237.7619,25199.05322,65758.58258,572874.706,444051,42.30840661,471.2424057,1
Germany,2005,Wind,70365.86648,25576.88028,9909486907,1357348361,1.4515E+13,95086.43911,88757.49895,45076.28158,319883.8513,296342,86.55221577,720.7691148,1
India,2001,Wind,78480.83702,6736.179996,155699341.3,1150645705,1.81421E+14,62290.90645,60042.6314,96629.51455,26585.68461,602062,97.06651216,858.1847623,0
Brazil,2002,Wind,7848.323007,35570.68503,9938619520,905031936,2.1873E+13,59701.93895,92330.00433,13766.1821,196744.2416,958210,16.72315499,450.6242286,1
Brazil,2003,Geothermal,53770.4479,34773.45226,2510469128,585325750,1.95506E+14,269717.7679,45639.80285,1472.562528,408105.2752,895867,77.99029668,954.2425912,0
Australia,2012,Geothermal,40707.45577,39746.34776,4490880772,395287916,1.79372E+14,571408.9294,45947.57957,26371.15343,765061.0915,870560,39.19208084,123.0517774,1
Germany,2015,Solar,29167.69368,35187.0553,8801013401,1374881359,1.83343E+14,752809.653,97932.87192,37396.0893,77329.75566,627016,77.18408792,281.4853791,1
Australia,2004,Geothermal,60887.52095,9321.264345,8882535249,1067625419,1.794E+14,537620.5458,8610.078689,65133.05907,832590.9913,754042,74.90652507,614.0341194,1
Germany,2008,Geothermal,16797.94393,4223.489479,6192629464,1438454077,6.56423E+13,26658.94212,94481.07473,42584.6942,654951.2512,417976,49.27277024,301.0817856,1
Germany,2009,Solar,5329.14338,35151.61625,4036431009,891971462,1.25258E+14,627147.2772,43406.17581,36364.64936,935166.3745,40955,6.656573747,476.9528294,1
France,2000,Wind,41553.63621,37031.07767,4944095097,523515210,1.31298E+14,416156.4139,95883.93487,84341.37722,549105.3615,937281,79.23281132,730.7826971,0
Japan,2023,Solar,31038.78506,41579.35305,6497451422,334109135,1.71033E+14,782740.2618,12170.06626,94369.75042,548137.6209,780614,20.13547553,363.2225045,0
France,2015,Hydro,60449.78571,19261.95341,5000630710,1414964086,1.66163E+14,845112.6862,23048.58891,35249.91336,671418.2446,990592,68.09658923,16.43130102,0
Brazil,2021,Geothermal,76496.97591,25607.25544,6551275133,639283602,2.01747E+13,644945.2632,26334.13902,12411.75345,251025.3151,347941,82.57706547,96.05272999,0
China,2017,Wind,23202.87141,39789.50271,4221217089,190249038,1.85837E+13,110779.8873,95941.83822,43014.22244,70837.98305,796805,57.931341,723.3440388,1
France,2021,Hydro,24540.24668,41163.7892,9652646897,1262005657,7.04065E+13,870539.1621,22462.97266,16967.39363,778405.1164,577633,57.89392556,758.7233617,1
Germany,2016,Solar,78694.06672,28881.67566,617372647.7,1494059848,3.21698E+13,817225.0289,83022.7506,19545.89188,244650.9983,497256,88.14217182,704.4971264,1
Germany,2008,Wind,37036.17354,48597.87716,8294915908,645740857,1.38567E+14,907201.7084,43539.07731,39921.56803,213294.1115,597893,18.86026832,25.13918445,1
Japan,2016,Biomass,61591.58638,8989.185411,4627916153,1008005762,1.71796E+14,287665.9699,97989.59443,65759.18639,557404.5836,569145,69.65641763,852.3965727,0
France,2000,Wind,37182.66289,1227.86668,5796309684,4281459,9.1506E+13,118719.5333,98030.87904,27784.55649,935098.9867,883303,63.91117602,436.1060308,1
France,2022,Hydro,92816.34538,48959.55345,634975347.2,799164006,8.21198E+13,788782.7243,7952.757186,40029.53182,152520.0115,65651,53.56211745,263.4457204,0
Japan,2017,Hydro,44713.62157,39937.98271,3813639208,1373051594,1.66112E+14,358789.75,7444.458756,90012.55651,57245.5513,171157,52.7619066,295.5272892,0
Japan,2014,Geothermal,19358.19164,37782.51178,1606295215,504335995,2.7831E+13,949604.6051,98477.56635,50450.89235,422361.2165,993024,65.2374098,626.249296,1
Canada,2004,Wind,72411.58131,15018.27819,6096467847,650835948,3.92433E+13,156363.9465,19755.0858,78437.16534,178032.8004,211404,24.04987896,608.0376394,0
Brazil,2009,Solar,1087.245594,30299.41087,4686346730,932729473,1.53962E+14,940709.3322,99651.27087,22056.04941,548844.5153,433483,79.02994399,980.0074997,1
Brazil,2015,Hydro,89157.11588,38813.1534,3539832024,783884482,5.24317E+13,535211.7638,49954.82195,84525.87422,382920.9159,534049,31.66819203,972.5457553,0
Russia,2017,Solar,42287.85709,23369.26673,2910853422,208027039,1.77665E+14,711518.5219,19128.03047,66066.21852,952003.1588,744729,97.24042106,610.8692826,1
Germany,2005,Solar,31484.04728,19026.15241,3879186750,605875088,6.99716E+13,898209.5681,76541.97845,22011.57666,391142.2909,277566,5.163514571,826.2800517,1
Brazil,2004,Geothermal,24200.61341,30679.94048,7952421555,16952069,1.99096E+13,673852.3314,17964.95069,75106.58713,51108.55969,993309,82.51292918,271.7153748,1
Canada,2019,Wind,21125.80776,22932.00588,3058277494,215536329,2.90944E+13,14640.69201,66061.66821,65530.38155,785199.2863,568374,51.52749827,980.9596901,0
France,2004,Wind,84722.34315,28543.59937,3499257122,818270191,3.29997E+13,272460.8043,78303.256,84839.39712,256249.3912,991569,33.65077168,17.31073719,1
France,2011,Geothermal,1852.788228,30015.85856,4128687307,1042479226,1.00435E+14,90864.14692,25827.23537,51508.44718,397269.0333,978458,30.53157305,715.4096913,1
Canada,2023,Geothermal,96864.63885,38261.41695,961236031.6,920301367,5.61158E+13,24830.55933,24693.64476,88795.10638,474930.8587,849460,94.32635937,572.8705793,0
Canada,2022,Geothermal,35116.52773,31986.71159,5054198890,1097682814,3.65282E+12,139397.6894,52029.41126,22447.40623,843594.9362,404269,7.351845478,329.8396152,0
India,2021,Geothermal,71250.57457,29229.47411,6606079723,663571777,1.11803E+12,841892.2968,20572.309,31298.73915,291896.0831,794376,46.37928598,681.3598065,0
China,2000,Wind,91171.2971,12239.41518,6876746726,987437585,7.74364E+13,840126.8068,93546.6761,29873.44985,614841.7419,192775,0.345391597,391.7944148,0
Russia,2002,Solar,44993.26109,25146.84073,571085489.8,435397577,1.44496E+14,318535.9029,38301.60557,23337.88461,812895.0558,196694,66.27466399,851.8642372,0
Brazil,2013,Wind,1577.986802,664.84413,2494594851,1342298579,2.5071E+13,109005.1749,36927.34172,23145.00579,624919.1571,306378,32.25427681,980.1659351,0
France,2018,Solar,36387.44324,43257.53471,2658409026,729471036,8.55746E+13,167085.2298,68197.78624,93649.21841,172763.111,689924,70.97403206,35.4116107,0
Japan,2008,Hydro,86583.31845,26019.01672,5278159983,409646419,79642465962,872616.9598,5891.139589,99413.63153,255009.3601,571226,88.61961932,24.01594281,0
Australia,2003,Biomass,65260.5728,48971.7714,2364936806,685236159,3.92715E+13,948333.8803,88742.11557,86759.66867,294815.7373,239101,24.37961035,151.4982372,0
USA,2016,Solar,80231.39528,18019.46907,4926187306,662628516,1.89344E+14,377298.9933,36604.48018,21759.4684,690355.7437,976546,16.32963032,830.2728045,0
China,2004,Biomass,83220.30414,49142.94659,1018262792,1362328023,1.03216E+14,965283.0188,85464.82539,25512.47034,680449.1742,421550,32.21416614,995.0536547,0
Canada,2010,Hydro,93117.96153,3607.446766,3289667346,98019944,1.81336E+14,236097.8825,17928.86118,92015.5,378519.6864,62045,50.44222823,491.9804107,0
Germany,2021,Wind,50112.56212,43313.11366,7910196686,1213271863,1.32491E+14,433163.0606,58890.50358,82722.09429,93205.66359,426505,39.67453011,334.0691597,0
Russia,2021,Biomass,72620.62122,30614.20549,1338062338,201790722,1.62251E+14,244843.5618,92265.98262,94637.46161,964791.3745,145724,74.3774551,860.6529382,0
China,2013,Wind,6055.649786,27585.23744,1882700109,1261733305,1.05399E+14,847426.1495,4962.898936,32552.54269,308818.7592,609089,4.730380966,192.3158795,0
Brazil,2002,Biomass,28232.46312,23609.60028,3265992211,228364110,1.84354E+14,153103.5253,87039.80029,90209.10076,220744.1356,31171,7.321955287,658.8694377,1
Canada,2002,Wind,56286.23602,2227.73366,9723321127,685981383,4.95685E+13,899852.6177,3249.750443,20681.49218,178032.5369,781256,81.4228104,620.7564637,1
India,2012,Hydro,52312.39204,23474.53338,5575420988,125189639,1.8966E+14,145191.2399,35941.02796,99912.21381,515556.0319,438933,30.77061586,984.9766427,0
USA,2011,Hydro,21469.44839,1021.144123,7412586893,415231934,1.057E+14,690484.2634,47541.66203,68839.80929,9632.213062,298602,44.50383935,646.6344095,1
Brazil,2008,Geothermal,48425.01788,45391.2557,6047810661,164164540,9.19726E+13,684878.7637,83424.81951,8262.319846,277043.7975,570422,79.74732096,394.3961838,1
Australia,2015,Solar,57524.90213,19094.69076,2979810350,1172354049,1.34225E+14,995085.9955,90101.56064,52820.84872,757429.6197,813456,64.63479446,702.2424508,1
Brazil,2011,Solar,25460.77233,17997.21099,801360121.6,1287627478,1.83542E+14,330583.6886,84746.95645,51333.85941,61208.6241,421736,84.82151865,133.2321609,0
Australia,2015,Hydro,89130.98016,1410.186416,3925354002,1157273175,1.26003E+14,72325.54548,27309.45656,18460.49925,845893.0333,332601,43.26326714,541.692667,1
India,2020,Hydro,84510.208,32024.06241,8407228250,526329797,8.35185E+12,680798.7259,44305.73445,84331.6661,139377.21,882712,31.77983834,564.8048056,0
China,2011,Geothermal,82925.44921,13888.31114,7032294536,1484129985,6.07684E+13,133315.611,10642.50379,86302.66111,441170.5477,411405,15.00854453,136.5302215,0
China,2007,Hydro,35047.32527,43191.36906,4221885907,281792137,5.46558E+13,572886.342,93623.52544,1501.712296,158139.306,215387,17.83660124,327.2916879,0
China,2015,Wind,84080.51717,36007.21414,298174926.6,1395772027,9.93075E+13,62721.42877,70706.18485,62975.04013,253938.6027,225962,79.48557484,417.7500712,1
Germany,2012,Hydro,17034.75229,38354.06706,6009317737,625709407,2.64331E+13,507624.7583,58130.52393,77941.92897,302752.9738,879901,75.27588119,887.6066383,1
Canada,2007,Geothermal,16908.33475,14440.24128,7935535032,824382343,4.3115E+13,64139.34061,8185.645043,96442.30886,761811.3922,253175,99.65542615,799.9393835,1
France,2010,Biomass,25059.90775,1433.391841,6039510225,980571994,7.50587E+13,731713.5774,87191.60986,95468.71449,160497.2813,858802,32.33441727,608.3861342,0
Russia,2022,Wind,84201.27549,27760.1648,9912777572,1294478571,6.6634E+13,990252.1022,33159.20958,17806.95071,301334.7202,824533,80.34062549,333.0729146,0
USA,2014,Solar,89112.98199,43304.7968,2616267493,1112686632,1.19776E+14,232802.15,48959.20597,71329.07666,936800.1085,432256,38.68189596,265.9642866,0
France,2014,Biomass,23108.13966,29243.00797,6111773587,45002594,1.45657E+14,753859.3759,59774.91577,7823.207463,546486.512,245221,31.47130761,235.2075201,1
Brazil,2018,Hydro,67246.2885,6980.818054,221727721.1,453423836,2.05413E+13,58439.43461,56608.47467,17610.3516,349780.9614,799927,55.3942927,248.3226156,1
France,2009,Wind,81776.58591,30921.25172,3888148722,1437051748,1.30499E+14,433801.0706,36586.95798,44558.49631,855306.1189,915339,98.80814214,525.3477359,1
Canada,2007,Geothermal,67493.42575,7172.965518,9607710948,150490201,7.6985E+13,724939.5399,15521.09693,49271.13763,407305.6655,337070,98.87942579,994.3861809,0
USA,2001,Biomass,72834.65644,31130.24132,504694869.9,220510423,1.68051E+14,85949.95514,86571.77687,30346.34806,813733.6051,530058,45.39283521,55.3046342,0
India,2018,Biomass,85703.93551,1860.456727,4019105341,72632568,1.03633E+14,785541.4255,53203.66402,66487.21622,167135.0311,691668,39.80692035,658.8680819,0
India,2023,Biomass,43844.45286,27589.68636,9096401119,1458887425,1.39189E+13,176820.8816,30013.62054,61537.31375,167284.6506,631173,3.530419034,299.4248489,0
India,2020,Geothermal,21785.14858,20550.66892,3341577592,1333814296,1.81393E+14,828874.516,39727.85363,55941.82737,947772.5659,799532,93.00833826,605.0548329,1
Russia,2001,Wind,84376.6798,11959.11076,9080098591,290894850,3.62519E+13,896992.7093,52320.91787,20755.59128,787376.9566,195559,31.73150284,149.360076,0
Germany,2008,Biomass,10296.82475,38902.80431,3330397994,38792545,4.15977E+13,5402.746334,8623.974691,53573.0454,295864.1507,838631,77.48225894,671.8139247,1
USA,2011,Hydro,24587.60282,11127.67785,6582881282,958860017,1.51716E+14,581703.6415,86004.1187,94355.90172,29734.32105,58863,92.30281737,878.7076148,1
Brazil,2002,Geothermal,46316.92553,37230.78881,9865520118,1072902644,1.34997E+13,638601.8719,70521.36269,68385.83304,346768.0922,634347,56.85572593,601.2312754,0
